,Year of Study,Primary Programme,Gender,Department,Housing Type,Q2-How many events have you Participated in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?
2366,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,2,3,2,1.0
2367,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,1,2,2.0
2368,3,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,1.0
2369,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,3,2,3.0
2370,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,1,2,1,2.0
2371,1,Bachelor of Computing,M,School of Computing,Residential Colleges,2,3,2,2.0
2372,3,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,5,2,1.0
2373,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,4,1,2.0
2374,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,2,2,1.0
2375,3,Bachelor of Arts,F,School of Foreign College,Out of Campus,1,6,2,1.0
2376,2,Bachelor of Business Admin,F,School of Business School,Residential Colleges,0,4,1,2.0
2377,1,Bachelor of Computing,F,School of Computing,Residential Colleges,2,4,2,2.0
2378,3,Bachelor of Business Admin,M,School of Business School,Out of Campus,3,4,2,3.0
2379,2,Bachelor of Science,M,School of Science,Out of Campus,1,4,2,2.0
2380,1,Bachelor of Science (SOC),M,School of Computing,Out of Campus,1,2,1,2.0
2381,3,Bachelor of Dental Surgery,F,School of Dentistry,Halls,1,2,3,2.0
2382,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,3,2,0.0
2383,3,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,1,2,3.0
2384,3,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,2,1,2,2.0
2385,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,2,2,3.0
2387,1,Bachelor of Arts (SDE),F,School of Design & Environment,Residences,1,1,2,3.0
2388,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,2,2,2.0
2389,1,Bachelor of Business Admin,F,School of Business School,Residential Colleges,3,5,2,2.0
2390,1,Bachelor of Engineering,F,School of Engineering,Halls,3,2,2,2.0
2391,1,Bachelor of Science (Pharmacy),M,School of Science,Halls,1,1,3,3.0
2392,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,1.0
2393,2,Bachelor of Science,M,School of Science,Out of Campus,1,4,2,2.0
2394,2,Bachelor of Science,M,School of Science,Residential Colleges,2,7,2,2.0
2395,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,1,2,2,2.0
2396,3,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,4,2,2.0
2397,2,Bachelor of Arts,M,School of Arts & Social Science,Halls,1,4,3,1.0
2398,3,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,2,3,3,2.0
2399,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,1,2,2.0
2400,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,4,2,2.0
2401,2,Bachelor of Business Admin,M,School of Business School,Residences,2,4,2,2.0
2402,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,2,1,2.0
2403,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,1,0.0
2404,2,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,2,2,2.0
2405,3,Bachelor of Science,F,School of Science,Out of Campus,2,4,2,2.0
2406,1,Bachelor of Computing,M,School of Computing,Residential Colleges,1,2,3,2.0
2407,2,Bachelor of Science,F,School of Science,Out of Campus,0,4,1,2.0
2408,1,Bachelor of Arts,M,School of Arts & Social Science,Halls,1,2,2,2.0
2409,2,Bachelor of Business Admin,F,School of Business School,Residential Colleges,1,3,2,2.0
2410,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
2411,1,Bachelor of Science (SDE),F,School of Design & Environment,Residential Colleges,2,3,2,2.0
2412,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,8,2,2.0
2413,2,Bachelor of Business Admin,M,School of Business School,Out of Campus,0,5,1,0.0
2414,2,Bachelor of Science,F,School of Science,Out of Campus,2,3,1,1.0
2415,4,Bachelor of Science,F,School of Science,Out of Campus,0,2,1,2.0
2416,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,8,2,1.0
2417,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,4,3,2,1.0
2418,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,3,2,2.0
2419,1,Bachelor of Computing,F,School of Computing,Out of Campus,2,2,2,1.0
2422,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,6,2,2.0
2424,1,Bachelor of Engineering,M,School of Engineering,Residences,2,3,3,3.0
2425,4,Bachelor of Engineering,M,School of Engineering,Halls,0,4,3,1.0
2426,2,Bachelor of Engineering,M,School of Engineering,Residential Colleges,2,7,2,1.0
2427,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,3,2,2.0
2428,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,2,3,3.0
2429,3,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,1,2,2.0
2430,3,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
2431,1,Bachelor of Engineering,F,School of Engineering,Halls,2,3,2,2.0
2432,4,Bachelor of Science,F,School of Science,Out of Campus,2,1,3,2.0
2433,4,Bachelor of Computing,F,School of Computing,Out of Campus,1,3,2,2.0
2434,1,Bachelor of Technology,M,School of Cont & Lifelong Edun,Out of Campus,1,1,2,2.0
2435,2,Bachelor of Laws,M,School of Law,Out of Campus,2,1,1,2.0
2436,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,1,2.0
2437,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,2,2,1.0
2438,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,3,1,2.0
2439,1,Bachelor of Engineering,F,School of Engineering,Halls,2,3,2,2.0
2440,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,3,3,2,2.0
2441,2,Bachelor of Laws,M,School of Law,Out of Campus,3,2,2,2.0
2442,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,7,1,2.0
2443,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,2,3,2,2.0
2445,1,Bachelor of Business Admin,M,School of Business School,Halls,1,3,2,3.0
2446,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
2447,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,0,1,2,2.0
2448,1,Bachelor of Science,F,School of Science,Out of Campus,2,3,3,3.0
2449,3,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,2,4,1,1.0
