,Year of Study,Primary Programme,Gender,Department,Housing Type,Q2-How many events have you Participated in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?
0,2,Bachelor of Science,F,School of Science,Residences,1,1,2,2.0
1,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,1,2,2.0
2,2,Bachelor of Science,M,School of Science,Halls,1,2,2,2.0
3,2,Bachelor of Engineering,M,School of Engineering,Halls,4,7,1,1.0
4,3,Bachelor of Engineering,F,School of Engineering,Out of Campus,3,4,2,2.0
5,1,Bachelor of Science,F,School of Science,Residential Colleges,2,2,3,3.0
6,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,3,2,2.0
7,2,Bachelor of Computing,M,School of Computing,Halls,3,2,2,2.0
8,3,Bachelor of Computing,M,School of Computing,Halls,2,5,2,1.0
9,2,Bachelor of Science,F,School of Science,Halls,1,5,2,2.0
10,2,Bachelor of Science,F,School of Science,Out of Campus,3,4,2,2.0
11,2,Bachelor of Science,M,School of Science,Halls,2,4,2,3.0
12,3,Bachelor of Engineering,F,School of Engineering,Residential Colleges,2,6,2,2.0
13,4,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,5,1,2.0
14,2,Bachelor of Engineering,M,School of Engineering,Residences,1,1,3,3.0
16,3,Bachelor of Business Admin,M,School of Business School,Halls,2,4,2,2.0
17,3,Bachelor of Engineering,F,School of Engineering,Residences,2,3,1,2.0
18,4,Bachelor of Engineering,M,School of Engineering,Halls,1,5,2,3.0
19,1,Bachelor of Engineering,M,School of Engineering,Halls,0,2,2,2.0
20,2,Bachelor of Science (SDE),F,School of Design & Environment,Halls,3,4,2,2.0
21,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
22,2,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,1.0
24,1,Bachelor of Arts,F,School of Arts & Social Science,Residences,1,4,2,0.0
26,4,Bachelor of Science,F,School of Science,Halls,3,4,2,2.0
28,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,4,2,2.0
30,3,Bachelor of Engineering,F,School of Engineering,Residences,3,4,2,3.0
31,3,Bachelor of Science (Pharmacy),M,School of Science,Halls,0,4,2,2.0
32,4,Bachelor of Science,F,School of Science,Halls,2,6,1,2.0
33,4,Bachelor of Science,M,School of Science,Halls,3,2,3,2.0
34,2,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,2,2,2.0
36,2,Bachelor of Science,M,School of Science,Out of Campus,2,2,2,2.0
37,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Residential Colleges,1,4,3,2.0
39,3,Bachelor of Engineering,F,School of Engineering,Residential Colleges,1,1,2,2.0
40,3,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
41,3,Bachelor of Music,F,School of Conservatory of Music,Halls,0,1,2,2.0
42,3,Bachelor of Science,F,School of Science,Out of Campus,1,7,2,2.0
43,4,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
44,1,Bachelor of Engineering,M,School of Engineering,Halls,1,2,2,3.0
46,1,Bachelor of Business Admin,M,School of Business School,Halls,3,1,2,3.0
47,4,Bachelor of Science,F,School of Science,Out of Campus,3,2,2,2.0
48,4,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,3,7,2,2.0
49,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,2.0
50,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,2,2,3.0
51,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,3,1,2,2.0
52,4,Bachelor of Science,M,School of Science,Halls,1,3,1,0.0
53,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,6,1,1.0
54,3,Bachelor of Science,F,School of Science,Out of Campus,1,1,2,2.0
55,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,7,2,2.0
56,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,3,1,2.0
57,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
58,4,Bachelor of Engineering,F,School of Engineering,Halls,4,3,2,2.0
59,1,Bachelor of Engineering,M,School of Engineering,Residences,3,4,2,2.0
60,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,2,1,2.0
61,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
62,1,Bachelor of Science,F,School of Science,Out of Campus,1,5,0,2.0
63,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,2,2,3,2.0
64,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,1,3,3.0
65,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,2,2.0
66,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
67,4,Bachelor of Science,F,School of Science,Out of Campus,3,4,1,2.0
68,1,Bachelor of Laws,F,School of Law,Out of Campus,0,1,2,2.0
69,3,Bachelor of Arts,F,School of Foreign College,Out of Campus,1,7,2,2.0
70,2,Bachelor of Science,F,School of Science,Out of Campus,1,4,0,2.0
71,1,Bachelor of Science,M,School of Science,Out of Campus,3,2,2,2.0
72,1,Bachelor of Laws,F,School of Law,Out of Campus,1,1,2,2.0
73,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,4,2,2.0
74,1,Bachelor of Computing,M,School of Computing,Out of Campus,2,3,2,2.0
75,2,Bachelor of Computing,F,School of Computing,Halls,3,8,2,2.0
76,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,1,1,1.0
77,2,Bachelor of Engineering,M,School of Engineering,Halls,3,3,2,2.0
78,3,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,6,1,2.0
79,2,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,0,1,2,2.0
80,4,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,0,3,3,2.0
81,2,Bachelor of Science,F,School of Science,Out of Campus,1,4,2,2.0
82,2,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,2.0
83,1,Bachelor of Engineering,M,School of Engineering,Halls,1,5,1,0.0
84,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
85,1,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,0,3,2,2.0
86,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,5,0,1.0
87,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,3,2,1.0
88,1,Bachelor of Laws,M,School of Law,Out of Campus,1,1,2,2.0
89,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
90,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,3,5,2,3.0
91,1,Bachelor of Computing,M,School of Computing,Out of Campus,1,4,2,2.0
92,1,Bachelor of Engineering,F,School of Engineering,Halls,2,5,1,3.0
93,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,1,1.0
94,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,0,4,1,2.0
95,1,Bachelor of Business Admin,F,School of Business School,Residential Colleges,2,4,3,3.0
96,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,3,2,1.0
97,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,1,2,3.0
98,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,4,2,1.0
99,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,5,2,2.0
100,2,Bachelor of Computing,M,School of Computing,Out of Campus,1,3,2,2.0
101,4,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,1,3,2,2.0
103,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,3,1,1.0
105,1,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Halls,2,1,2,2.0
106,1,Bachelor of Laws,M,School of Law,Out of Campus,2,3,1,3.0
107,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,4,2,2.0
108,1,Bachelor of Music,F,School of Conservatory of Music,Halls,2,3,2,3.0
109,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,1,2,2.0
110,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,5,2,2.0
112,3,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,3,1,1,2.0
113,4,Bachelor of Science (SOC),F,School of Computing,Halls,1,1,1,2.0
114,3,Bachelor of Arts,F,School of Arts & Social Science,Halls,3,4,2,2.0
115,3,Bachelor of Science (SDE),M,School of Design & Environment,Halls,3,2,2,3.0
116,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,4,2,2.0
117,5,Bachelor of Computing,M,School of Computing,Out of Campus,4,4,3,3.0
118,2,Bachelor of Arts,M,School of Arts & Social Science,Residential Colleges,2,5,1,2.0
119,1,Bachelor of Business Admin,M,School of Business School,Halls,3,4,3,2.0
120,4,Bachelor of Science,M,School of Science,Out of Campus,3,1,1,2.0
121,1,Bachelor of Engineering,M,School of Engineering,Halls,3,2,2,2.0
122,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,2,3,2.0
123,4,Bachelor of Engineering,M,School of Engineering,Halls,1,4,2,1.0
124,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,1,1,2.0
125,2,Bachelor of Engineering,M,School of Engineering,Halls,3,1,2,2.0
126,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,5,2,2.0
127,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,3,3,2,2.0
128,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,1,1,2.0
129,1,Bachelor of Science (SDE),M,School of Design & Environment,Out of Campus,0,3,2,2.0
130,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,4,3,2.0
131,3,Bachelor of Science,M,School of Science,Out of Campus,3,4,2,2.0
132,3,Bachelor of Science (Pharmacy),M,School of Science,Out of Campus,0,2,2,2.0
133,3,Bachelor of Science,M,School of Science,Out of Campus,2,4,2,2.0
134,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,6,2,2.0
135,1,Bachelor of Science,M,School of Science,Out of Campus,0,5,2,2.0
136,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,2,2,1,2.0
137,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
138,1,Bachelor of Science,M,School of Science,Out of Campus,1,3,2,1.0
139,2,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Out of Campus,1,3,1,2.0
140,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,1,2.0
141,2,Bachelor of Laws,F,School of Law,Out of Campus,1,1,2,1.0
142,1,Bachelor of Business Admin,F,School of Business School,Halls,1,6,1,2.0
143,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,3,2,1.0
144,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,3,2,3.0
145,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,4,1,2.0
146,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,1.0
147,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,6,2,2.0
148,2,Yale-University Bachelor's Program,F,School of Foreign College,Out of Campus,2,5,2,2.0
149,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,7,1,2.0
150,2,Bachelor of Science,F,School of Science,Out of Campus,3,3,2,3.0
151,3,Bachelor of Science,F,School of Science,Out of Campus,1,2,1,1.0
152,3,Bachelor of Science,F,School of Science,Halls,3,6,2,3.0
153,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,1.0
154,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
155,3,Bachelor of Science,F,School of Science,Out of Campus,1,1,3,3.0
156,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,1,2.0
158,1,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,2.0
159,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,2.0
160,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,2,2.0
161,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,3,2,3.0
162,2,Bachelor of Science,M,School of Science,Out of Campus,1,2,2,2.0
163,1,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,0,2,2,2.0
164,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,2,2.0
165,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,3,2,3.0
168,4,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,5,2,2.0
169,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,3,2.0
170,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,2,2.0
171,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
172,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,4,2,3.0
173,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,3,0,3.0
174,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
175,2,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,4,2,2.0
176,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,5,2,2.0
177,3,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,2,2,2,2.0
178,1,Bachelor of Laws,F,School of Law,Out of Campus,0,1,2,2.0
179,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,3,2,2.0
180,2,Bachelor of Science,F,School of Science,Out of Campus,1,1,2,3.0
181,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,4,2,3.0
182,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,3,6,2,1.0
183,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
184,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,4,4,2,2.0
185,1,Bachelor of Science (Nursing),F,School of Medicine1,Residences,0,3,2,2.0
186,4,Bachelor of Arts (SDE),F,School of Design & Environment,Out of Campus,2,4,2,2.0
187,1,Bachelor of Science,F,School of Science,Out of Campus,0,4,1,2.0
188,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
189,4,Bachelor of Science,F,School of Science,Out of Campus,2,3,2,3.0
190,5,Bachelor of Laws,M,School of Law,Out of Campus,0,2,2,3.0
191,2,Bachelor of Engineering,M,School of Engineering,Halls,1,1,2,2.0
192,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,2,2,3.0
193,1,Bachelor of Computing,F,School of Computing,Residential Colleges,1,3,0,0.0
194,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,1,2,2.0
197,1,Bachelor of Science (SOC),F,School of Computing,Residential Colleges,1,1,3,2.0
198,2,Bachelor of Science,F,School of Science,Residential Colleges,3,5,3,2.0
199,2,Bachelor of Engineering,F,School of Engineering,Residential Colleges,1,2,2,2.0
200,1,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,3,1,2.0
201,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,5,1,2.0
202,2,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,2,3,2.0
203,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,6,1,1.0
204,2,Bachelor of Science,M,School of Science,Out of Campus,0,1,2,2.0
205,2,Bachelor of Science,M,School of Science,Out of Campus,1,1,2,2.0
206,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,4,2,1.0
207,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,7,0,3.0
208,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,4,2,2.0
210,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,2,1,2.0
211,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,2,1,3.0
212,1,Bachelor of Engineering,F,School of Engineering,Residential Colleges,2,3,2,1.0
213,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,4,3,2,3.0
214,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,5,2,2.0
215,1,Bachelor of Business Admin,M,School of Business School,Halls,0,4,2,2.0
216,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Out of Campus,2,5,1,2.0
217,1,Bachelor of Science (Pharmacy),F,School of Science,Halls,1,3,2,2.0
218,3,Bachelor of Science,F,School of Science,Out of Campus,1,2,1,1.0
219,4,Bachelor of Science,F,School of Science,Halls,1,2,2,2.0
220,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,2,2,2.0
221,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,1,2,3,3.0
222,1,Bachelor of Business Admin,F,School of Business School,Halls,1,2,3,3.0
223,3,Bachelor of Computing,M,School of Computing,Out of Campus,2,1,2,2.0
225,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,6,1,1.0
226,2,Bachelor of Science,M,School of Science,Out of Campus,2,1,1,1.0
227,1,Bachelor of Engineering,M,School of Engineering,Halls,2,2,2,2.0
228,1,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,2,3,2.0
229,1,Bachelor of Engineering,F,School of Engineering,Halls,3,3,2,2.0
230,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,5,2,2.0
231,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,1.0
232,3,Bachelor of Business Admin,M,School of Business School,Out of Campus,1,2,3,2.0
233,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,3,4,3,2.0
235,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,3,2,2.0
236,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,3,2,2.0
238,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Out of Campus,2,2,3,2.0
240,3,Bachelor of Science,F,School of Science,Out of Campus,1,3,1,1.0
241,3,Bachelor of Science,F,School of Science,Out of Campus,3,2,2,2.0
242,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,2,2,2.0
243,1,Bachelor of Science,M,School of Science,Halls,2,3,2,2.0
244,1,Bachelor of Computing,M,School of Computing,Residential Colleges,1,2,2,2.0
245,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,9,2,2.0
246,2,Bachelor of Science,F,School of Science,Halls,1,4,1,2.0
247,1,Bachelor of Business Admin,F,School of Business School,Halls,3,2,2,2.0
248,3,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
249,3,Bachelor of Science,F,School of Science,Out of Campus,1,3,2,2.0
250,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,3,5,3,1.0
251,1,Bachelor of Business Admin,M,School of Business School,Halls,2,4,2,3.0
252,3,Bachelor of Business Admin,F,School of Business School,Halls,2,4,3,2.0
253,4,Bachelor of Engineering,M,School of Engineering,Halls,2,7,1,3.0
254,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,2,2.0
255,1,Bachelor of Business Admin,M,School of Business School,Out of Campus,0,1,2,2.0
256,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,5,1,2.0
257,2,Bachelor of Science,M,School of Science,Out of Campus,3,3,2,2.0
258,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,1,1.0
259,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,7,2,2.0
260,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
261,2,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,3,2,1.0
262,4,Bachelor of Science,F,School of Science,Out of Campus,2,1,2,2.0
263,3,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,0,9,0,2.0
265,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,2,2.0
266,3,"Bach. of Med.,Bach. of Surg.",M,School of Medicine1,Out of Campus,0,2,1,2.0
267,1,Yale-University Bachelor's Program,F,School of Foreign College,Out of Campus,2,5,2,3.0
268,1,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,0,1,2,2.0
269,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,3,2,2.0
270,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,3,2,1.0
271,2,Bachelor of Science,M,School of Science,Residential Colleges,1,1,2,2.0
272,4,Bachelor of Social Sciences,M,School of Arts & Social Science,Out of Campus,1,2,2,2.0
273,1,Bachelor of Engineering,F,School of Engineering,Halls,1,3,2,2.0
274,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,1,2,3,2.0
275,2,Bachelor of Science,F,School of Science,Out of Campus,1,2,2,2.0
276,3,Bachelor of Science,F,School of Science,Out of Campus,1,1,2,1.0
277,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,0,2,2,2.0
278,1,Bachelor of Science,M,School of Science,Out of Campus,3,3,3,2.0
279,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,0,2,1,2.0
281,2,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,3,1,2.0
282,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,2,4,2,2.0
283,2,Bachelor of Science (Pharmacy),F,School of Science,Halls,3,3,3,3.0
284,3,Bachelor of Science,F,School of Science,Out of Campus,0,4,0,2.0
285,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,1,2,3.0
286,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,3,4,1,2.0
287,2,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,0,2,2,3.0
288,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,0,2,2,2.0
289,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,0,5,1,2.0
290,3,Bachelor of Business Admin,F,School of Business School,Out of Campus,2,3,2,3.0
291,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Halls,3,3,2,1.0
292,2,Bachelor of Science,F,School of Science,Out of Campus,1,5,2,2.0
293,3,Bachelor of Science,M,School of Science,Halls,1,3,3,3.0
294,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,2.0
295,2,Bachelor of Science,F,School of Science,Halls,2,3,1,2.0
296,2,Bachelor of Science,F,School of Science,Out of Campus,3,5,2,2.0
298,3,Bachelor of Science (SDE),F,School of Design & Environment,Out of Campus,1,1,2,1.0
299,2,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,3,2,1.0
301,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,4,2,2.0
302,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,5,2,2.0
304,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,2,2.0
305,1,Bachelor of Science,F,School of Science,Residential Colleges,3,3,2,2.0
306,3,Bachelor of Arts,F,School of Arts & Social Science,Halls,2,4,2,1.0
307,2,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,0,3,3,2.0
308,3,Bachelor of Engineering,F,School of Engineering,Halls,1,3,2,2.0
309,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Residences,3,5,2,2.0
311,4,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,1,2,2.0
314,2,Bachelor of Engineering (CEG),F,School of Multi Disciplinary Programme,Out of Campus,0,4,2,2.0
315,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,2.0
316,1,Bachelor of Science,M,School of Science,Halls,0,1,2,2.0
317,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,4,2,2.0
318,2,Bachelor of Science,F,School of Science,Halls,2,2,1,2.0
319,2,Bachelor of Science (SDE),F,School of Design & Environment,Residential Colleges,1,3,2,2.0
320,4,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,2,2,1.0
321,1,Bachelor of Engineering (CEG),M,School of Multi Disciplinary Programme,Halls,2,2,2,2.0
322,1,Bachelor of Engineering,F,School of Engineering,Out of Campus,1,2,3,3.0
324,4,Bachelor of Engineering,F,School of Engineering,Out of Campus,2,3,2,2.0
325,1,Bachelor of Science,M,School of Science,Residences,2,2,2,2.0
326,2,Bachelor of Computing,F,School of Computing,Residential Colleges,1,4,1,2.0
327,1,Bachelor of Science,M,School of Science,Halls,2,8,2,2.0
328,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,2.0
329,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,6,2,2.0
330,2,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,3,2,1.0
331,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,3,2,1.0
332,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,6,1,2.0
333,3,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,3,4,3,2.0
335,2,Bachelor of Computing,F,School of Computing,Out of Campus,1,3,1,2.0
336,3,Bachelor of Science,F,School of Science,Out of Campus,2,5,1,3.0
337,4,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,3,2,2.0
338,2,Bachelor of Science (Nursing),F,School of Medicine1,Out of Campus,1,1,2,2.0
339,1,Bachelor of Arts,F,School of Arts & Social Science,Residential Colleges,2,2,2,2.0
340,3,Bachelor of Science,F,School of Science,Residential Colleges,3,6,2,2.0
342,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,4,1,2.0
344,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,2,1,2,2.0
345,2,Bachelor of Science,F,School of Science,Out of Campus,2,5,2,2.0
346,1,Bachelor of Engineering,F,School of Engineering,Residential Colleges,2,6,3,3.0
347,2,Bachelor of Arts,F,School of Arts & Social Science,Halls,0,4,2,2.0
348,3,Bachelor of Computing,M,School of Computing,Out of Campus,2,1,1,2.0
349,3,Bachelor of Engineering,M,School of Engineering,Halls,1,1,2,2.0
350,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,3,2,2.0
351,1,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,2,1,2.0
352,3,Bachelor of Business Admin,F,School of Business School,Halls,2,2,2,1.0
353,2,Bachelor of Business Admin,F,School of Business School,Out of Campus,1,2,2,1.0
354,1,Bachelor of Arts,F,School of Arts & Social Science,Halls,1,2,3,3.0
355,2,Bachelor of Laws,F,School of Law,Out of Campus,3,3,2,2.0
356,1,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,4,4,2,2.0
357,1,Bachelor of Science (Pharmacy),F,School of Science,Out of Campus,1,1,1,2.0
358,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,4,2,2.0
359,1,Bachelor of Arts,F,School of Arts & Social Science,Out of Campus,1,1,2,2.0
360,2,Bachelor of Science (Nursing),F,School of Medicine1,Halls,0,4,2,1.0
361,4,"Bach. of Med.,Bach. of Surg.",F,School of Medicine1,Out of Campus,2,3,2,2.0
362,4,Bachelor of Science,M,School of Science,Out of Campus,3,5,3,3.0
363,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,2,6,2,3.0
364,3,Bachelor of Engineering,M,School of Engineering,Residential Colleges,4,2,3,2.0
365,2,Bachelor of Engineering,M,School of Engineering,Out of Campus,1,3,2,2.0
366,4,Bachelor of Science,F,School of Science,Halls,3,4,2,2.0
367,2,Bachelor of Arts,M,School of Arts & Social Science,Out of Campus,1,3,2,2.0
368,1,Bachelor of Computing,M,School of Computing,Residential Colleges,1,2,1,1.0
369,1,Bachelor of Engineering,M,School of Engineering,Residential Colleges,1,3,2,2.0
370,4,Bachelor of Social Sciences,F,School of Arts & Social Science,Out of Campus,1,2,2,2.0
